competition_id,season,match_id,match_name,match_type,match_order,match_date,match_start_time,match_end_date,match_end_time,timezone,ground_id,ground_name,city,home_team_id,home_team_name,home_team_logo,away_team_id,away_team_name,away_team_logo,toss_winner,first_batting_team,second_batting_team,first_innings_summary,second_innings_summary,first_innings_run_rate,second_innings_run_rate,result
10008,2016,10582,Royal Challengers Bangalore VS Sunrisers Hyderabad,T20,60th  T20I,29 May 2016,20:00,29 May 2016,23:00,Asia/Kolkata,70,M. Chinnaswamy Stadium,Bengaluru,19,Royal Challengers Bangalore,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rcb.png,20,Sunrisers Hyderabad,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-srh.png,Sunrisers Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,208/7 (20 Overs),200/7 (20 Overs),10.40,10.00,Sunrisers Hyderabad won by 8 runs
10008,2016,10581,Gujarat Lions VS Sunrisers Hyderabad,T20,59th  T20I,27 May 2016,20:00,27 May 2016,23:00,Asia/Kolkata,17,Arun Jaitley Stadium,Delhi,79,Gujarat Lions,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/teamlogos/GL.png,20,Sunrisers Hyderabad,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-srh.png,Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,162/7 (20 Overs),163/6 (19.2 Overs),8.10,8.43,Sunrisers Hyderabad won by 4 wickets
10008,2016,10580,Sunrisers Hyderabad VS Kolkata Knight Riders,T20,58th  T20I,25 May 2016,20:00,25 May 2016,23:00,Asia/Kolkata,17,Arun Jaitley Stadium,Delhi,20,Sunrisers Hyderabad,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-srh.png,16,Kolkata Knight Riders,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-kkr.png,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,162/8 (20 Overs),140/8 (20 Overs),8.10,7.00,Sunrisers Hyderabad won by 22 runs
10008,2016,10579,Gujarat Lions VS Royal Challengers Bangalore,T20,57th  T20I,24 May 2016,20:00,24 May 2016,23:00,Asia/Kolkata,70,M. Chinnaswamy Stadium,Bengaluru,79,Gujarat Lions,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/teamlogos/GL.png,19,Royal Challengers Bangalore,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rcb.png,Royal Challengers Bangalore,Gujarat Lions,Royal Challengers Bangalore,158/10 (20 Overs),159/6 (18.2 Overs),7.90,8.67,Royal Challengers Bangalore won by 4 wickets
10008,2016,10578,Delhi Daredevils VS Royal Challengers Bangalore,T20,56th  T20I,22 May 2016,20:00,22 May 2016,23:00,Asia/Kolkata,83,Shaheed Veer Narayan Singh International Cricket Stadium,Naya Raipur,14,Delhi Daredevils,https://scores.iplt20.com/ipl/teamlogos/DD.png,19,Royal Challengers Bangalore,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rcb.png,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,138/8 (20 Overs),139/4 (18.1 Overs),6.90,7.65,Royal Challengers Bangalore won by 6 wickets
10008,2016,10577,Kolkata Knight Riders VS Sunrisers Hyderabad,T20,55th  T20I,22 May 2016,16:00,22 May 2016,23:00,Asia/Kolkata,19,Eden Gardens,Kolkata,16,Kolkata Knight Riders,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-kkr.png,20,Sunrisers Hyderabad,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-srh.png,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,171/6 (20 Overs),149/8 (20 Overs),8.55,7.45,Kolkata Knight Riders won by 22 runs
10008,2016,10576,Gujarat Lions VS Mumbai Indians,T20,54th  T20I,21 May 2016,20:00,21 May 2016,23:00,Asia/Kolkata,59,Green Park,Kanpur,79,Gujarat Lions,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/teamlogos/GL.png,17,Mumbai Indians,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-mi.png,Mumbai Indians,Mumbai Indians,Gujarat Lions,172/8 (20 Overs),173/4 (17.5 Overs),8.60,9.70,Gujarat Lions won by 6 wickets
10008,2016,10575,Rising Pune Supergiant VS Punjab Kings,T20,53rd  T20I,21 May 2016,16:00,21 May 2016,23:00,Asia/Kolkata,82,ACA-VDCA Stadium,Visakhapatnam,24,Rising Pune Supergiant,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/teamlogos/RPS.png,15,Punjab Kings,https://livescores-bccitv.epicon.in/ipl/teamlogos/pk.png,Punjab Kings,Punjab Kings,Rising Pune Supergiant,172/7 (20 Overs),173/6 (20 Overs),8.60,8.65,Rising Pune Supergiant won by 4 wickets
10008,2016,10574,Delhi Daredevils VS Sunrisers Hyderabad,T20,52nd  T20I,20 May 2016,20:00,20 May 2016,23:00,Asia/Kolkata,83,Shaheed Veer Narayan Singh International Cricket Stadium,Naya Raipur,14,Delhi Daredevils,https://scores.iplt20.com/ipl/teamlogos/DD.png,20,Sunrisers Hyderabad,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-srh.png,Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi Daredevils,158/7 (20 Overs),161/4 (20 Overs),7.90,8.05,Delhi Daredevils won by 6 wickets
10008,2016,10573,Gujarat Lions VS Kolkata Knight Riders,T20,51st T20I,19 May 2016,20:00,19 May 2016,23:00,Asia/Kolkata,59,Green Park,Kanpur,79,Gujarat Lions,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/teamlogos/GL.png,16,Kolkata Knight Riders,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-kkr.png,Kolkata Knight Riders,Kolkata Knight Riders,Gujarat Lions,124/8 (20 Overs),125/4 (13.3 Overs),6.20,9.25,Gujarat Lions won by 6 wickets
